na_item,unit,geo\time	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 
B1GQ,CP_MEUR,NL	506671.0 	523939.0 	545609.0 	579212.0 	613280.0 	639163.0 	617540.0 	631512.0 	642929.0 	645164.0 	650857.0 p	662770.0 p
B1GQ,CP_MEUR,NO	202368.1 	212908.6 	248332.2 	275289.8 	293128.0 	316813.6 	278386.1 	323587.2 	358248.4 	396678.0 	393397.2 	377538.1 
B1GQ,CP_MEUR,PL	192274.3 	204848.0 	244822.0 	273418.0 	313654.1 	363691.8 	314689.4 	361744.3 	380176.9 	389273.3 	394601.8 	410844.6 
B1GQ,CP_MEUR,PT	146158.3 	152371.6 	158652.6 	166248.7 	175467.7 	178872.6 	175448.2 	179929.8 	176166.6 	168398.0 	170269.3 	173446.2 e
B1GQ,CP_MEUR,RO	52931.0 	61404.0 	80225.6 	98418.6 	125403.4 	142396.3 	120409.2 	126746.4 	133305.9 	133511.4 	144253.5 	150018.5 p
B1GQ,CP_MEUR,RS	18738.0 	19966.6 	21103.3 	24434.6 	29451.6 	33704.5 	30654.7 	29766.3 	33423.8 	31683.1 	34262.9 	33059.0 e
B1GQ,CP_MEUR,SE	293444.5 	307433.4 	313218.0 	334876.5 	356434.3 	352317.1 	309678.7 	369076.6 	404945.5 	423340.7 	435752.1 	430634.6 
B1GQ,CP_MEUR,SI	26303.1 	27736.7 	29235.4 	31561.2 	35152.6 	37951.2 	36166.2 	36252.4 	36896.3 	35988.3 	35907.5 	37303.2 
B1GQ,CP_MEUR,SK	30064.5 	34702.3 	39219.9 	45396.2 	56090.6 	65839.8 	63818.5 	67387.1 	70443.5 	72420.0 	73835.1 	75560.5 
B1GQ,CP_MEUR,UK	1719826.9 	1849390.0 	1945624.5 	2063309.5 	2168911.7 	1908370.2 	1667594.9 	1813331.2 	1866018.3 	2053612.8 	2042895.0 	2253310.9 
B1GQ,CP_MPPS,AL	: 	: 	: 	: 	: 	20190.7 	20577.8 	20672.7 	21129.1 	21274.1 	21489.6 	: 
B1GQ,CP_MPPS,AT	220459.1 	232504.8 	238843.4 b	253229.1 	264100.2 	267519.3 	254999.4 	267245.5 	278743.4 	287667.7 	288923.9 	297945.7 
B1GQ,CP_MPPS,BE	271604.4 	280487.7 	289728.2 b	301101.5 	315396.9 	316656.2 	305680.1 	329225.3 	341573.9 	349697.2 	348814.6 	360985.2 
B1GQ,CP_MPPS,BG	55309.5 	59966.7 	65568.7 b	71694.4 	81548.9 	87417.5 	83295.5 	85091.8 	86513.1 	88679.9 	88125.6 	90663.5 
B1GQ,CP_MPPS,CH	225307.3 	234878.4 	243656.5 b	264069.2 	290464.3 	301343.6 	290763.7 	306525.9 	325680.9 	339607.0 	347570.0 p	354051.2 p
B1GQ,CP_MPPS,CY	14437.2 	15724.8 	16935.5 b	18206.0 	19828.2 	21461.9 	20791.1 	21545.9 	21241.7 	21446.2 	20246.0 	19787.2 p
B1GQ,CP_MPPS,CZ	168505.2 	180117.7 	190427.8 b	203350.8 	222968.1 	219944.2 	212239.6 	216272.2 	226538.7 	228815.3 	229884.1 	241386.7 
B1GQ,CP_MPPS,DE	2042824.1 	2131977.5 	2220971.6 b	2325960.0 	2455093.4 	2465653.5 	2287058.2 	2472553.4 	2601029.6 	2666027.9 	2683556.1 	2798236.0 
B1GQ,CP_MPPS,DK	142086.6 	150777.8 	154547.4 b	164484.9 	171374.6 	175264.4 	164614.6 	177030.6 	182058.7 	186885.2 	187330.4 	193419.0 
B1GQ,CP_MPPS,EA	7411020.2 	7719842.8 	8056148.6 b	8510848.1 	9070489.8 	9151480.3 	8710072.4 	9114526.0 	9400572.8 	9523238.7 	9550267.4 	9864486.1 
B1GQ,CP_MPPS,EA18	7567968.3 	7889600.9 	8240500.5 b	8712556.2 	9249699.1 	9308858.1 	8757956.7 	9164207.0 	9430860.9 	9555713.9 	9584471.7 	9864486.1 
B1GQ,CP_MPPS,EA19	7603242.9 	7927306.9 	8281309.5 b	8757146.7 	9300204.5 	9360796.0 	8801489.4 	9211662.6 	9482340.0 	9610411.7 	9641919.7 	9923555.4 
B1GQ,CP_MPPS,EE	15295.1 	16818.9 	18773.7 b	21156.1 	23755.6 	23511.6 	20289.2 	21442.4 	23993.5 	25390.6 	26080.6 	26734.7 
B1GQ,CP_MPPS,EL	219303.4 	234459.2 	233491.8 b	253602.5 	262734.6 	269675.6 	256162.3 	245847.5 	223106.8 p	213804.1 p	211340.5 p	214162.9 p
B1GQ,CP_MPPS,ES	901049.3 	955176.3 	1017998.9 b	1115200.5 	1203859.5 	1210882.3 	1144081.9 	1150113.0 	1147318.9 	1152172.9 p	1145151.6 p	1164001.8 p
B1GQ,CP_MPPS,EU28	10493789.6 	11022328.8 	11510087.9 b	12177005.1 	12909441.5 	12993621.0 	12249585.5 	12794296.1 	13177263.3 	13428968.2 	13541722.8 	13944015.3 
B1GQ,CP_MPPS,FI	126628.3 	136795.0 	140760.4 b	147891.1 	160953.7 	164913.8 	150777.1 	156777.6 	163649.7 	165549.2 	164361.3 	164983.2 
B1GQ,CP_MPPS,FR	1474053.9 	1532142.8 	1605867.1 b	1670904.5 	1767955.1 	1767302.4 	1694160.0 	1780225.4 	1840289.5 	1859477.7 	1871476.4 	1942545.7 
B1GQ,CP_MPPS,HR	51068.1 	54714.4 	57744.7 b	61469.2 	68109.9 	70894.8 	64627.4 	63963.8 	66443.4 	68503.9 	68615.1 	68000.0 
B1GQ,CP_MPPS,HU	133558.4 	140051.7 	146145.5 b	152904.2 	157786.2 	163196.8 	157313.1 	164579.1 	170068.9 	170104.4 	175619.5 	184125.8 
B1GQ,CP_MPPS,IE	121358.4 	130688.4 	140792.7 b	152925.2 	166823.6 	153977.1 	142868.2 	150435.5 	157728.6 	159459.5 	162836.7 	169857.2 
B1GQ,CP_MPPS,IS	7743.1 	8592.3 	8909.3 b	9081.5 	9785.2 	10257.6 	9564.7 	9367.7 	9522.0 	9864.2 	10265.4 	10714.2 
B1GQ,CP_MPPS,IT	1375671.4 	1397638.8 	1439049.7 b	1512908.5 	1599365.2 	1617086.0 	1518854.8 	1570760.7 	1608536.4 	1607775.1 	1592893.2 	1607813.7 
B1GQ,CP_MPPS,LT	35455.2 	37669.0 	40818.9 b	44524.0 	50545.2 	51960.6 	43498.1 	47450.6 	51504.3 	54741.4 	57445.6 	59165.7 
B1GQ,CP_MPPS,LU	23195.2 	25236.3 	26110.2 b	29737.3 	32267.7 	32453.8 	30077.6 	32709.5 	35620.1 	36893.7 	38392.6 	41016.9 
B1GQ,CP_MPPS,LV	21875.7 	23833.7 	26450.5 b	29981.6 	33962.3 	33805.8 	27447.1 	27854.7 	30229.6 	32153.2 	33509.0 	34384.1 
B1GQ,CP_MPPS,MK	11460.3 	12381.6 	14035.6 b	15256.1 	16099.6 	17326.4 	17513.7 	18371.8 	18146.4 	18680.6 	19605.3 	20594.3 p
B1GQ,CP_MPPS,MT	7010.2 	7214.0 	7592.4 b	7801.1 	8227.0 	8545.9 	8439.9 	9035.2 	9116.1 	9397.9 	9659.8 	9907.1 
B1GQ,CP_MPPS,NL	461465.8 	485182.6 	509457.9 b	543035.0 	580356.4 	592783.6 	552065.1 	567447.2 	584289.7 	591123.5 	593095.4 p	606726.7 p
B1GQ,CP_MPPS,NO	150057.3 	166908.4 	187074.8 b	207465.1 	217263.9 	232556.8 	204066.6 	219333.6 	234467.9 	252646.3 	251982.2 	251959.5 
B1GQ,CP_MPPS,PL	387907.8 	419405.7 	440936.1 b	470127.0 	522466.8 	537491.6 	549414.4 	605976.5 	646784.4 	675311.0 	686643.1 	710094.8 
B1GQ,CP_MPPS,PT	174773.8 	179120.1 	193995.7 b	204452.8 	215772.5 	215242.0 	208404.4 	217288.7 	214547.7 	211326.4 	218360.4 	222964.6 e
B1GQ,CP_MPPS,RO	141839.5 	160919.4 	170817.5 b	196999.2 	224390.9 	256545.2 	242365.2 	256050.7 	267931.6 	280283.6 	289191.4 	291764.1 p
B1GQ,CP_MPPS,RS	: 	: 	55168.1 	59660.0 	62608.4 	68289.4 	65010.4 	65702.0 	68623.0 	70089.6 	70438.3 	68168.4 e
B1GQ,CP_MPPS,SE	242134.1 	259353.4 	259406.7 b	277685.5 	301092.5 	301645.4 	277455.1 	298691.9 	311641.0 	317638.7 	323239.4 	330663.3 
B1GQ,CP_MPPS,SI	35237.1 	38140.0 	39987.1 b	42256.3 	45325.3 	46737.6 	42213.2 	43139.3 	44166.2 	44473.4 	44598.6 	46668.3 
B1GQ,CP_MPPS,SK	62988.8 	67779.5 	74296.2 b	82265.4 	93501.7 	100204.1 	93912.8 	100817.8 	102515.2 	106051.3 	108673.9 	113408.5 
B1GQ,CP_MPPS,UK	1567810.5 	1670471.4 	1749942.1 b	1826793.5 	1866162.7 	1823979.0 	1703825.1 	1717774.6 	1746508.8 	1821220.6 	1875561.7 	1937342.7 
